iter	RMSE
0	78300.27877
1	76019.63266
2	73946.83354
3	71979.54013
4	70021.08151
5	68015.53261
6	66224.23041
7	64502.0107
8	62829.97079
9	61197.39175
10	59658.21055
11	58211.23177
12	56813.87753
13	55365.28003
14	54022.92645
15	52784.70952
16	51533.39487
17	50428.23866
18	49397.0033
19	48354.09972
20	47293.55702
21	46299.88655
22	45390.15595
23	44513.78604
24	43693.81294
25	42860.52151
26	42070.75365
27	41315.49441
28	40563.58752
29	39909.62916
30	39223.44764
31	38587.03766
32	37948.30202
33	37284.76286
34	36736.85441
35	36188.43936
36	35704.45294
37	35160.62962
38	34662.70634
39	34206.91906
40	33781.22105
41	33390.80588
42	33035.91925
43	32631.83295
44	32296.74281
45	31892.75775
46	31537.73277
47	31171.31536
48	30833.86897
49	30522.93801
50	30234.54508
51	29948.80177
52	29635.17805
53	29337.98614
54	29092.56783
55	28868.70364
56	28669.57454
57	28423.11845
58	28191.94592
59	28001.83645
60	27796.95533
61	27627.22814
62	27457.70157
63	27299.11326
64	27105.79697
65	26907.37648
66	26716.08073
67	26585.74596
68	26447.88531
69	26295.98872
70	26136.83086
71	26025.74868
72	25895.44116
73	25755.62891
74	25627.865
75	25500.62943
76	25368.54323
77	25238.80651
78	25162.47923
79	25073.16077
80	24979.63064
81	24891.9048
82	24791.94825
83	24688.74699
84	24580.29299
85	24509.91638
86	24431.99647
87	24337.28057
88	24247.53847
89	24173.11455
90	24075.12166
91	23991.98063
92	23901.00387
93	23830.3734
94	23768.55761
95	23705.27236
96	23637.52061
97	23579.86798
98	23521.92442
99	23455.41837
100	23389.77895
101	23346.97261
102	23287.06322
103	23246.20911
104	23197.73442
105	23135.58347
106	23071.63303
107	23026.34023
108	22991.40218
109	22945.83616
110	22893.47396
111	22856.2229
112	22807.35187
113	22767.50756
114	22715.36062
115	22678.9253
116	22636.12586
117	22593.32904
118	22543.58126
119	22492.92947
120	22449.78991
121	22418.13245
122	22382.48232
123	22362.1221
124	22316.86529
125	22284.82749
126	22249.52451
127	22196.67445
128	22155.0036
129	22121.90164
130	22096.94576
131	22055.53006
132	22032.73105
133	22000.15218
134	21984.29567
135	21935.54473
136	21909.14598
137	21876.49658
138	21842.84005
139	21809.23519
140	21778.67152
141	21754.61126
142	21744.83758
143	21719.63418
144	21689.88718
145	21664.00462
146	21640.97989
147	21607.33383
148	21567.37201
149	21532.08392
150	21501.41163
151	21486.48447
152	21458.22193
153	21427.12184
154	21408.45274
155	21395.31214
156	21365.86795
157	21341.79216
158	21312.622
159	21289.90896
160	21270.28205
161	21250.69015
162	21213.00869
163	21184.65627
164	21151.69242
165	21124.66298
166	21091.02034
167	21069.62609
168	21048.1187
169	21022.53271
170	21003.29461
171	20973.80168
172	20954.32327
173	20930.20212
174	20905.51602
175	20871.10932
176	20848.32525
177	20814.16622
178	20798.34391
179	20764.04613
180	20745.25031
181	20721.57178
182	20702.68041
183	20688.90622
184	20665.39846
185	20631.47779
186	20593.76487
187	20568.78747
188	20537.40283
189	20528.30015
190	20502.82392
191	20471.99156
192	20439.54639
193	20413.36971
194	20381.38582
195	20353.07314
196	20328.10316
197	20308.67014
198	20293.23748
199	20265.79001
200	20241.03528
201	20223.36526
202	20180.6324
203	20147.30444
204	20116.84544
205	20095.61469
206	20078.88874
207	20059.91409
208	20034.91867
209	20006.55566
210	19998.15437
211	19978.73312
212	19961.55204
213	19944.21549
214	19905.81804
215	19888.37049
216	19856.31959
217	19833.50847
218	19798.38907
219	19786.50648
220	19777.34563
221	19747.99884
222	19714.16397
223	19696.74233
224	19666.48712
225	19653.28656
226	19625.87845
227	19599.19197
228	19563.96749
229	19546.62861
230	19511.77867
231	19487.70816
232	19468.15916
233	19450.01535
234	19439.06793
235	19406.71857
236	19376.86115
237	19355.22306
238	19326.92825
239	19292.12183
240	19266.46376
241	19243.68828
242	19233.58092
243	19203.71558
244	19168.44997
245	19147.93592
246	19123.25738
247	19102.06277
248	19087.57874
249	19067.4633
250	19054.36689
251	19036.81246
252	19023.23135
253	19010.73989
254	18985.79284
255	18967.50306
256	18946.97175
257	18933.56943
258	18907.78471
259	18884.67172
260	18873.34287
261	18854.15328
262	18841.35767
263	18818.58377
264	18794.23238
265	18757.63549
266	18730.28107
267	18702.68155
268	18676.29035
269	18662.9116
270	18636.75498
271	18618.61177
272	18593.20147
273	18568.0521
274	18552.65127
275	18531.58009
276	18512.55452
277	18482.72957
278	18472.18738
279	18450.00728
280	18423.08435
281	18412.30306
282	18388.68892
283	18361.09706
284	18335.60518
285	18324.78846
286	18313.80872
287	18290.28208
288	18272.89306
289	18249.00318
290	18223.28699
291	18201.62902
292	18176.44381
293	18156.25355
294	18135.31348
295	18115.28292
296	18099.8406
297	18072.53293
298	18058.37632
299	18038.76179
300	18009.81561
301	17999.66523
302	17988.34469
303	17964.59588
304	17957.05519
305	17932.22255
306	17922.31264
307	17897.14118
308	17878.56816
309	17855.89298
310	17841.894
311	17829.55715
312	17811.62587
313	17792.99119
314	17769.0334
315	17759.26897
316	17742.65348
317	17723.88932
318	17705.68153
319	17694.48817
320	17690.75987
321	17657.72284
322	17641.9356
323	17619.01127
324	17605.9716
325	17578.83066
326	17554.19855
327	17542.52685
328	17518.49511
329	17493.40316
330	17479.75824
331	17455.6244
332	17450.10045
333	17440.20398
334	17417.83864
335	17389.13979
336	17371.96286
337	17365.09864
338	17351.67593
339	17350.83618
340	17341.12642
341	17330.75303
342	17323.38852
343	17314.82307
344	17306.79576
345	17295.9275
346	17287.73394
347	17278.56503
348	17268.28111
349	17259.25023
350	17233.9093
351	17225.40601
352	17217.27472
353	17206.2172
354	17197.70135
355	17182.01554
356	17169.67573
357	17160.02148
358	17158.38332
359	17140.94375
360	17133.06853
361	17116.15159
362	17101.57196
363	17094.60985
364	17081.26674
365	17068.51803
366	17062.29319
367	17048.27227
368	17036.68169
369	17026.95953
370	17007.91271
371	16995.5969
372	16987.55092
373	16975.66152
374	16964.2557
375	16959.57035
376	16959.14562
377	16949.58175
378	16941.70641
379	16916.13097
380	16894.12966
381	16880.91293
382	16872.32317
383	16861.6343
384	16843.50251
385	16831.87329
386	16809.63719
387	16805.26496
388	16782.46234
389	16767.17601
390	16755.61117
391	16747.65528
392	16736.58769
393	16722.49413
394	16695.77053
395	16683.21713
396	16661.71072
397	16641.08022
398	16633.43073
399	16629.50341
400	16611.09668
401	16601.20152
402	16595.91616
403	16582.77673
404	16572.06809
405	16560.60982
406	16552.74119
407	16534.51645
408	16523.17976
409	16507.4688
410	16491.5178
411	16468.47814
412	16450.35217
413	16433.45208
414	16414.64809
415	16392.92797
416	16384.6556
417	16376.03772
418	16365.00549
419	16355.66532
