iter	Passed	Remaining
0	42	42932
1	48	24211
2	53	17931
3	59	14750
4	65	12992
5	69	11575
6	75	10716
7	81	10100
8	85	9394
9	90	8980
10	95	8622
11	100	8299
12	105	8015
13	111	7849
14	116	7662
15	122	7532
16	128	7442
17	135	7381
18	142	7342
19	146	7202
20	152	7106
21	158	7030
22	163	6928
23	168	6844
24	173	6759
25	178	6678
26	185	6681
27	191	6631
28	197	6617
29	201	6518
30	208	6509
31	214	6476
32	218	6401
33	222	6333
34	227	6284
35	232	6222
36	236	6161
37	241	6110
38	246	6073
39	251	6027
40	255	5984
41	260	5935
42	265	5902
43	268	5828
44	274	5830
45	279	5786
46	282	5732
47	286	5690
48	291	5649
49	295	5613
50	449	8368
51	465	8494
52	472	8439
53	476	8351
54	481	8270
55	485	8192
56	490	8118
57	496	8058
58	502	8007
59	507	7957
60	515	7938
61	522	7899
62	526	7837
63	532	7790
64	537	7733
65	542	7677
66	546	7609
67	550	7551
68	555	7494
69	560	7445
70	565	7395
71	572	7381
72	580	7373
73	586	7337
74	590	7286
75	595	7245
76	601	7213
77	605	7156
78	610	7118
79	615	7079
80	619	7029
81	624	6991
82	630	6966
83	635	6933
84	640	6891
85	644	6854
86	648	6809
87	654	6779
88	659	6745
89	663	6706
90	666	6660
91	670	6621
92	674	6577
93	678	6543
94	683	6507
95	686	6461
96	690	6429
97	694	6395
98	698	6355
99	704	6337
100	708	6302
101	713	6278
102	716	6235
103	722	6225
104	725	6186
105	729	6156
106	733	6124
107	737	6088
108	741	6057
109	745	6028
110	749	6000
111	753	5970
112	757	5944
113	761	5922
114	765	5892
115	768	5859
116	773	5835
117	778	5817
118	781	5785
119	785	5761
120	789	5735
121	793	5709
122	797	5684
123	800	5656
124	804	5630
125	809	5612
126	813	5592
127	817	5567
128	821	5549
129	825	5525
130	829	5499
131	832	5473
132	836	5454
133	841	5438
134	843	5407
135	848	5389
136	852	5372
137	857	5355
138	861	5338
139	866	5323
140	870	5306
141	875	5288
142	879	5269
143	883	5250
144	887	5232
145	891	5215
146	896	5203
147	900	5186
