Rank,Technique,Model,Input_Output,MAE,RMSE,MAPE,R2,Bias
1,Baseline,RNN,24 → 24,1376.7156520411265,1926.8904657690284,4.347443014548393,0.9105399990964322,78.35691115307425
2,RMSprop + Learning Rate Scheduler,RNN,24 → 24,1380.455857086755,1947.0097018210615,4.373047915495958,0.9086620891892203,183.9371604022663
3,Batch Size 32,RNN,24 → 24,1387.2739250699174,1961.7285185939083,4.396921367341186,0.907275894192556,200.6896267575759
4,Batch Normalization,RNN,24 → 24,1388.6084414431793,1960.869031599301,4.408847433340167,0.9073571263344717,216.50879045895846
5,Early Stopping,RNN,24 → 24,1390.3678448612964,1949.1159618860881,4.410774413858794,0.9084643650051681,120.65475509308246
6,RMSprop,RNN,24 → 24,1387.1081347502004,1931.1706843661027,4.41234224260603,0.9101421211213101,273.0465344812776
7,Batch Size 128,RNN,24 → 24,1399.362004928143,1976.6945657083681,4.432770661562494,0.9058557111624999,102.18250054016362
8,Adam,RNN,24 → 24,1412.8646858513553,1960.2076349436081,4.477067885744956,0.907419612254838,138.76057845742451
9,32 Neurons,RNN,24 → 24,1410.3121300246148,1985.078525099613,4.47974784559913,0.9050554097075454,226.44287729357634
10,128 Neurons,RNN,24 → 24,1458.0408453731266,2046.0232695734032,4.657677636162435,0.8991360481426458,522.2727100125278
11,Dropout,RNN,24 → 24,1471.529424933611,2009.527278024123,4.691583628341732,0.9027022820804059,117.89846316413617
12,Deep RNN,RNN,24 → 24,1499.4187534323676,2093.1793458589927,4.784466855917797,0.8944331108299858,383.87631982172536
13,Hyperparameter Tuning,RNN,24 → 24,1502.1588268103073,2068.5658742427486,4.816308814578437,0.8969012134051946,495.7678921709132
14,Additional Lags,RNN,24 → 24,1518.6297064285338,2115.73965431117,4.899385060780936,0.8921897490234234,368.47112271678037
15,SGD,RNN,24 → 24,1611.0813879169339,2180.9567945231242,5.1341236813930715,0.8853935746511137,159.78651111047816
