Rank,Model,Input_Hours,Output_Hours,MAE,RMSE,MAPE,R2,Bias
1,RNN,24,24,1376.7156520411265,1926.8904657690284,4.347443014548393,0.9105399990964322,78.35691115307425
2,GRU,48,24,1408.3473658666167,2007.9125428794946,4.42447204482822,0.902920317414255,130.56038532518562
3,RNN,48,24,1427.2834003407318,1991.721144824708,4.540930505018163,0.9044796664275151,291.56365410125966
4,GRU,24,24,1429.7045531539566,2086.4722667763826,4.503,0.8951,241.55
5,RNN,168,24,1430.2133220007822,1981.7279488063964,4.582684822640543,0.9053238845459299,375.384035532258
6,GRU,168,24,1452.6757279173771,2075.132045638438,4.598523493680257,0.8961888896859629,284.29167971810284
7,LSTM,48,24,1480.8368071696918,2166.632234680274,4.637196960894945,0.8869659827518424,244.60307681727969
8,LSTM,24,24,1491.6327254665684,2165.564133063436,4.693110195238567,0.8870055943155081,315.4325268070607
9,Bi-LSTM,24,24,1532.42,2220.76,4.829,0.8812,225.46
10,LSTM,168,24,1539.1091036484686,2171.0322859555713,4.9120441764824285,0.8863721142778263,447.83148694518695
11,Bi-LSTM,168,24,1557.6657932493313,2229.9810757314744,4.928703239175246,0.8801177965194642,369.85794581685906
12,Bi-LSTM,48,24,1582.6344591814595,2276.95754794763,4.940600257325572,0.8751614747425135,128.43057508510645
